bloco,cor_hex,inicio_2026,fim_2026,duracao_dias,observacao
INSS,FF3C78D8,2026-01-01,2026-01-11,11,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-01-12,2026-01-15,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-01-16,2026-01-18,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-01-19,2026-01-19,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-01-20,2026-01-26,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF00FFFF,2026-02-06,2026-02-06,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFFFFFFF,2026-03-06,2026-03-06,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF1C4587,2026-03-09,2026-03-22,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF3C78D8,2026-03-23,2026-04-05,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-04-06,2026-04-09,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-04-10,2026-04-12,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-04-13,2026-04-13,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-04-14,2026-04-19,6,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF00FFFF,2026-05-08,2026-05-08,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF1C4587,2026-06-08,2026-06-21,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF3C78D8,2026-06-22,2026-07-05,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-07-06,2026-07-09,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-07-10,2026-07-12,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-07-13,2026-07-13,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-07-14,2026-07-20,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF00FFFF,2026-08-07,2026-08-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFFFFFFF,2026-09-08,2026-09-08,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF1C4587,2026-09-21,2026-10-04,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF3C78D8,2026-10-05,2026-10-18,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-10-19,2026-10-22,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-10-23,2026-10-25,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF0000FF,2026-10-26,2026-10-26,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFC9DAF8,2026-10-27,2026-11-02,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FF00FFFF,2026-11-12,2026-11-12,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
INSS,FFFFFFFF,2026-12-07,2026-12-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFDD7E6B,2026-01-01,2026-01-04,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFEA9999,2026-01-05,2026-01-18,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-01-19,2026-01-22,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-01-23,2026-01-25,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-01-26,2026-01-26,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-01-27,2026-02-02,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFFFFFF,2026-02-04,2026-02-15,12,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFDD7E6B,2026-02-16,2026-03-01,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFEA9999,2026-03-02,2026-03-15,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-03-16,2026-03-19,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-03-20,2026-03-22,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-03-23,2026-03-23,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-03-24,2026-03-30,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FF980000,2026-04-08,2026-04-08,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFDD7E6B,2026-04-13,2026-04-26,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFEA9999,2026-04-27,2026-05-10,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-05-11,2026-05-14,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-05-15,2026-05-17,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-05-18,2026-05-18,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-05-19,2026-05-25,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FF980000,2026-06-10,2026-06-10,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFFFFFF,2026-07-07,2026-07-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFDD7E6B,2026-07-13,2026-07-26,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFEA9999,2026-07-27,2026-08-09,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-08-10,2026-08-13,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-08-14,2026-08-16,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-08-17,2026-08-17,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-08-18,2026-08-24,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFFFFFF,2026-09-07,2026-09-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FF980000,2026-09-10,2026-09-10,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFFFFFF,2026-10-07,2026-10-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFDD7E6B,2026-10-12,2026-10-25,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFEA9999,2026-10-26,2026-11-08,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-11-09,2026-11-12,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-11-13,2026-11-15,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFF0000,2026-11-16,2026-11-16,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFF4CCCC,2026-11-17,2026-11-23,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FF980000,2026-11-27,2026-11-27,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
TJ,FFFFFFFF,2026-12-07,2026-12-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFF2CC,2026-01-05,2026-01-18,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFCE5CD,2026-01-19,2026-02-01,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-02-02,2026-02-05,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-02-06,2026-02-08,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-02-09,2026-02-09,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-02-10,2026-02-16,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFBF9000,2026-03-06,2026-03-06,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFF2CC,2026-03-16,2026-03-29,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFCE5CD,2026-03-30,2026-04-12,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-04-13,2026-04-16,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-04-17,2026-04-19,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-04-20,2026-04-20,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-04-21,2026-04-27,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFBF9000,2026-05-08,2026-05-08,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFF2CC,2026-05-11,2026-05-24,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFCE5CD,2026-05-25,2026-06-07,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-06-08,2026-06-11,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-06-12,2026-06-14,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-06-15,2026-06-15,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-06-16,2026-06-22,7,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFBF9000,2026-07-08,2026-07-08,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFFFF,2026-08-07,2026-08-07,1,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFF2CC,2026-08-17,2026-08-30,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFCE5CD,2026-08-31,2026-09-13,14,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFFF00,2026-09-14,2026-09-17,4,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
BB,FFFFD966,2026-09-18,2026-09-20,3,Faixa continua por cor (mapeamento de etapa depende da legenda visual)
